"","year","month","arrivals"
"1","2014","Jan",2171
"2","2015","Jan",3528
"3","2016","Jan",5156
"4","2014","Feb",3335
"5","2015","Feb",4354
"6","2016","Feb",3821
"7","2014","Mar",5456
"8","2015","Mar",2283
"9","2016","Mar",9137
"10","2014","Apr",15682
"11","2015","Apr",16063
"12","2016","Apr",10071
"13","2014","May",14599
"14","2015","May",21235
"15","2016","May",21660
"16","2014","Jun",22641
"17","2015","Jun",22891
"18","2016","Jun",22244
"19","2014","Jul",24031
"20","2015","Jul",23186
"21","2016","Jul",23366
"22","2014","Aug",24774
"23","2015","Aug",22609
"24","2016","Aug",21266
"25","2014","Sep",26107
"26","2015","Sep",15922
"27","2016","Sep",15390
"28","2014","Oct",15279
"29","2015","Oct",8916
"30","2016","Oct",NA
"31","2014","Nov",9293
"32","2015","Nov",3218
"33","2016","Nov",NA
"34","2014","Dec",6732
"35","2015","Dec",9637
"36","2016","Dec",NA
